newid,lact_num,calv_date,alp_date,avg_milk,avg_thi3,avg_csi3,avg_thi30,avg_csi30,avg_precspring
369242,2,2004-12-18,2005-06-16,20.20,63.76,991.80,63.51,1024.90,173.45
202180,3,2004-12-16,2005-06-23,16.10,63.07,1006.38,59.24,1070.98,113.71
135028,3,2005-10-17,2006-06-29,21.30,65.24,993.64,62.97,1023.83,127.67
320389,2,2012-11-21,2013-06-26,15.73,48.32,1050.06,52.13,1065.40,153.86
171997,4,2006-12-19,2007-06-18,14.80,66.78,1025.71,63.64,1012.41,166.01
170761,5,2005-12-04,2006-06-10,18.90,65.64,993.76,61.79,1059.30,177.86
286737,1,2008-12-27,2009-06-17,17.07,66.75,1000.39,65.83,986.15,159.03
342384,4,2014-02-08,2014-06-26,20.99,48.05,1136.91,49.89,1091.91,98.27
366954,2,2012-01-03,2012-06-26,15.77,52.52,1090.73,52.80,1072.45,129.45
90095,2,2003-02-13,2003-06-25,14.49,53.96,1077.46,53.67,1069.88,60.92
234009,1,2006-09-25,2007-06-19,13.73,62.67,1102.63,59.27,1077.44,200.97
21761,4,2001-11-22,2002-07-07,9.87,55.01,1106.18,60.82,1025.85,109.69
24870,6,2001-01-01,2001-06-30,17.52,51.64,1107.29,51.26,1111.31,68.83
124474,2,2005-09-19,2006-06-11,10.97,64.18,951.14,61.10,1026.57,138.52
366536,1,2013-01-15,2013-06-23,18.70,45.37,1100.68,45.19,1140.08,146.16
224579,5,2010-02-05,2010-06-05,24.51,53.54,1075.76,50.13,1106.18,115.61
314628,4,2007-02-25,2007-05-20,21.46,56.50,1025.59,52.70,1095.73,137.19
260305,1,2009-02-02,2009-06-26,15.14,49.01,1112.14,46.85,1132.30,132.01
230019,2,2008-01-07,2008-06-20,18.67,53.18,1086.72,53.64,1073.16,118.55
87027,5,2004-02-11,2004-07-01,18.48,45.64,1153.81,45.05,1162.27,75.59
316229,4,2013-09-28,2014-05-26,21.30,60.71,1000.08,61.03,1027.66,193.38
52417,1,2001-11-26,2002-07-01,6.60,60.16,1000.15,61.57,1000.08,137.34
387276,3,2009-10-24,2010-06-11,15.30,69.22,952.27,61.74,1032.30,151.57
80888,5,2006-02-03,2006-06-26,19.15,58.71,1038.06,57.09,1040.69,100.10
204679,1,2005-01-20,2005-06-18,13.33,49.50,1117.36,51.62,1108.76,101.01
26263,3,2002-01-11,2002-06-11,20.44,53.68,1101.54,52.97,1083.60,170.04
254655,2,2008-12-01,2009-05-24,20.77,64.10,945.95,60.87,1025.08,166.59
211901,1,2007-09-22,2008-06-24,10.13,68.29,880.77,61.84,1000.75,154.72
326348,3,2012-09-25,2013-06-20,17.90,66.09,960.36,58.53,1043.16,135.24
216142,4,2010-12-04,2011-06-06,14.13,61.40,1063.98,62.88,1029.37,163.06
251401,5,2012-02-13,2012-06-21,20.28,54.16,1070.12,55.65,1050.33,123.74
417776,1,2015-01-13,2015-07-06,15.48,56.79,1030.67,55.60,1050.61,57.19
152610,2,2001-01-21,2001-07-24,18.69,55.21,1058.66,52.97,1089.51,123.54
185118,2,2007-10-14,2008-06-19,18.90,54.86,1020.06,53.21,1066.91,126.07
170199,2,2003-12-04,2004-06-22,13.93,61.20,995.60,61.49,1010.23,139.94
381776,2,2012-12-01,2013-06-14,20.77,63.49,983.33,59.19,1036.25,138.64
394083,1,2014-02-09,2014-06-19,16.09,56.70,970.40,56.51,1015.55,127.24
196412,4,2009-01-02,2009-06-17,18.21,59.60,1038.97,56.37,1063.57,105.47
5928,5,2000-10-02,2001-06-30,11.70,62.90,1002.21,61.64,1005.65,155.73
156776,2,2006-11-22,2007-06-27,14.40,57.32,1146.14,61.59,1049.98,105.04
142629,3,2007-01-02,2007-06-23,22.60,48.46,1129.77,49.43,1105.91,129.74
384224,3,2014-10-15,2014-11-18,26.10,35.52,1252.13,40.65,1206.10,75.15
